q01	
q02	d293
q03	d152,d283,d291
q04	d286
q06	d026,d029,d257,d297,d329
q07	d004,d034
q08	d108,d110,d117,d205,d251
q09	d198,d223
q10	d231
q12	d176,d250,d277
q13	
q14	
q16	d132,d150,d176,d184,d229,d250,d277
q17	d271
q18	d192,d194,d210
q19	d179
q22	
q23	d219
q24	d129,d240,d282
q25	d020,d023,d032,d128,d156,d166,d167,d245,d247,d265,d328
q26	
q27	
q28	d136
q29	d046
q32	d025,d090,d139,d254
q34	d015,d024,d037,d039,d040,d075,d085,d087,d091,d108,d110,d113,d122,d148,d170,d190,d193,d207,d216,d219,d221,d224,d232,d235,d237,d241,d246,d270,d278,d281,d288,d308,d312,d325
q36	d257
q37	d169
q38	
q40	
q41	d150,d174
q42	
q44	d029,d185
q45	d105
q46	
